RK,Name,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
38,Vernon WellsTOR,LF,159,608,87,167,0.275,34,4,23,100,278,27,85,9,0.305,0.457,0.762,1.4
39,Carlos Ivan BeltranKC,OF,162,637,114,174,0.273,44,7,29,105,319,71,135,35,0.346,0.501,0.847,4
40,Rafael PalmeiroTEX,1B,155,546,99,149,0.273,34,0,43,105,312,104,94,2,0.391,0.571,0.962,4.2
41,Cristian GuzmanMIN,SS,148,623,80,170,0.273,31,6,9,59,240,17,79,12,0.292,0.385,0.677,1.2
42,Robert FickDET,1B,148,556,66,150,0.27,36,2,17,63,241,46,90,0,0.331,0.433,0.764,1.4
43,Jorge PosadaNYY,DH,143,511,79,137,0.268,40,1,20,99,239,81,143,1,0.37,0.468,0.837,3.8
44,Corey KoskieMIN,3B,140,490,71,131,0.267,37,3,15,69,219,72,127,10,0.368,0.447,0.815,3.8
45,Brian DaubachBOS,1B,137,444,62,118,0.266,24,2,20,78,206,51,126,2,0.348,0.464,0.812,1.6
46,Jason VaritekBOS,C,132,467,58,124,0.266,27,1,10,61,183,41,95,4,0.332,0.392,0.724,1.8
47,Carlos LeeCWS,1B,140,492,82,130,0.264,26,2,26,80,238,75,73,1,0.359,0.484,0.843,2.7
48,Michael YoungTEX,3B,156,573,77,150,0.262,26,8,9,62,219,41,112,6,0.308,0.382,0.69,1.7
49,Doug MientkiewiczMIN,1B,143,467,60,122,0.261,29,1,10,64,183,74,69,1,0.365,0.392,0.756,1.2
50,Carlos GuillenSEA,2B,134,475,73,124,0.261,24,6,9,56,187,46,91,4,0.326,0.394,0.719,1.9
